DDC,Title,description
503,Growing Up with Science: The Illustrated Encyclopedia of Invention (25 Volume Set),"A twenty-five-volume, alphabetically-arranged science encyclopedia."
503,The American Heritage® Student Science Dictionary,"Entries with definitions of basic scientific terms are accompanied by illustrations, ""Did You Know"" sidebars, and explanatory notes."
503,The Feros (Vindico),"""James, Hayden, Lana, Sam and Emily use their new superpowers to try to save abducted members of the League of Heroes, and when Emily disappears, they must find their friend before it's too late""--"
503,Crabbe,"One night, just before final exams, 18-year-old Franklin Crabbe - smart, rich, yet unhappy and semi-alcoholic - packs his gear and drives away into the woods to disappear completely. Totally unprepared for bush life, Crabbe nearly perishes until he meets someone else who has her reasons to hide."
503,Young Scientist Volume 07: Human Body | Communication,None
503,The Skeptic Encyclopedia of Pseudoscience 2 volume set,Michael Shermer and his team of scientists and scholars have created an open-minded two-volume set that gives evidence both for and against extraordinary theories. Four A-Z sections examine these phenomena from different perspectives.
503,"Naruto: Chapter Book, Vol. 1: The Boy Ninja","While training to be a ninja, jokester Naruto fails his final exam, but when a crisis occurs in the ninja village, he realizes that he has what it takes to become a ninja."
503,Boule et bill 60 gags n 7,None
503,Amos Daragon: Journey to Hell,"Prisonnier des Enfers, le porteur de masques devra traverser l'Ach?ron, le fleuve du chagrin, le Styx, l'affluent de la haine, la Phl?g?ton, la rivi?re en flammes, le Cocyte, le torrent des lamentations, et le L?th?, le ruisseau de l'oubli, afin d'atteindre la cit? Infernale. C'est dans la capitale des neufs Enfers, peupl?s de d?mons et de cr?atures cauchemardesques, que se jouera le destin du jeune h?ros."
503,Science (Pocket Genius),"""Science teaches us what things are made of, how things move, and how life works. Find out all about it -- why lemons taste sour, where electricity comes from, and how plants make their own food -- in this pocket-sized encyclopedia""--P. [4] of cover."
503,Investigating God's World,None
503,World Book Encyclopedia of Science Volume 08: Men and Women of Science,Provides brief biographical information on some of the outstanding scientists through the ages. Includes a cumulative index to The World Book encyclopedia of science.
503,Manuela's Gift,"Manuela wants a new dress for her birthday, but times are hard and she is disappointed when she receives a hand-me-down instead."
503,The Living Countryside: Havens of the Wild,None
503,The Course of Your Life--workbook,None
503,Chambers Science and Technology Dictionary,None
503,The Course of your Life: a personal revolution (Leader's Guide),None
503,Lucky Stars,"Music entwines Kira, a thirteen-year-old singer who hates that her father makes her perform for money on New York City subway platforms; Eugene, the class clown; and Jake, who longs to sing and to approach Kira, but feels held back by his stuttering."
503,Collins Dictionary of Science,"This dictionary provides a guide to the ever-growing vocabulary of science, with coverage of terms from physics, chemistry, biology, the earth sciences and mathematics."
503,Larousse Dictionary of Science and Technology,"This new edition of the most comprehensive, single-volume reference work of its kind has been fully revised and updated to reflect recent developments in the dynamic scientific world. Encompassing all fields of science, it also gives equal weight to technology."
503,Kingfisher Child's World Encyclopedia (10 Volume Slipcase),Presents facts on more than 2500 subjects from A to Z.
503,The Rise and Fall of a Theater Geek,"Broadway, New York. The shows, the neon lights . . . the cute chorus boys! It's where Justin has always wanted to be--and now, with a winter internship for a famous actor, he finally has his chance to shine. If only he could ditch his kind, virtuous, upright, and--dare he say it?�uptight boyfriend, Spencer. But once the internship begins, Justin has more to worry about than a cramped single-guy-in-the-city style. Instead of having his moment in the spotlight, he's a not-so-glorified errand boy. Plus, Spencer is hanging out with a celebra-hottie, Justin's best friend Becky isn't speaking to him, and his famous actor boss seems headed for flopdom. Justin's tap-dancing as fast as he can, but all his wit and sass might not be enough to switch his time in New York from nightmare-terrible to dream-come-true terrific. Seth Rudetsky's second YA novel is endearingly human, laugh-out-loud funny, and for any kid who's ever aspired to Broadway but can only sneak in through the stage door."
503,Funk & Wagnalls New Encyclopedia of Science Special Projects,None
503,QPB Science Encyclopedia,None
503,First Encyclopedia of Science (The Random House Library of Knowledge),"Over 400 alphabetical entries, with illustrations, maps, and charts, cover such scientific topics as acid rain, computers, numbers, and sound."
503,Kingfisher Encyclopedia of Questions and Answers (3 Volume Set) (1998-05-03),None
503,Science A Children's Encyclopedia,"Get children excited about science with this essential, encylopedic introduction to physics, chemistry, and biology. What makes a firework bang? How do plants use sunlight to make food? What is the mysterious force that makes a magnet cling to your refrigerator? With astonishing images, simple graphics, and crystal-clear text Science A Children's Encyclopedia will explain the answers to all these questions, and many, many more. Find out how chemistry begins with matter - the stuff we and our world are all made of - and the building blocks of atoms, so super-small there are about one million, million atoms on the dot of this ""i"". The science of physics explains forces, energy, light, electricity, and magnetism. Forces are the hidden power behind everything on Earth, and the Universe beyond."
503,The Story Box,"Imagine a faraway land, a long time ago, in which dreams must die before they are spoken, imagination is forbidden and stories are banished. This is the island of Ariban, held prisoner by the vastness of the sea and its people's credo that the only world is the here and now, a small and protected universe of spinning and weaving, fishing and shepherding. Nothing more and nothing less.This is the newest and most richly imagined world of Monica Hughes, an author known internationally for her fantastical adventures and realistic characters. It is the world of Colin, a 15year-old Ariban boy, who fears for his younger sister, Etta. Etta has dreams that wake her in the night, frightening dreams of beasts with scales and long teeth. And she has been known to have forbidden flights of imagination. Will their father send Etta to the elders, to be banished ... or worse? But Colin's fear grows pale when, in an early morning walk along the storm-wracked beach, he comes upon a beautiful, barely alive young woman from a strange land. In her tiny hands she clutches a small chest, exquisitely carved, bound with bands of pure brass. Its contents are more precious than silver or gold, for this, she tells the horrified Colin, is The Story Box ..."
503,"Boule et Bill, Tome 31 : Graine de cocker","48 gags in?dits de Boule et Bill : Boule t?udie la th?orie du chaos, Bill la met en pratique, ensemble, ils sabotent une partie de chasse l?a b?casse, entra?nent Caroline t??re la premi?re tortue-touriste de l'espace, bricolent un HLM pour oiseaux sans domicile, etc."
503,Science Fact and Science Fiction: An Encyclopedia,"Science fiction is a literary genre based on scientific speculation. Works of science fiction use the ideas and the vocabulary of all sciences to create valid narratives that explore the future effects of science on events and human beings. Science Fact and Science Fiction examines in one volume how science has propelled science-fiction and, to a lesser extent, how science fiction has influenced the sciences. Although coverage will discuss the science behind the fiction from the Classical Age to the present, focus is naturally on the 19th century to the present, when the Industrial Revolution and spectacular progress in science and technology triggered an influx of science-fiction works speculating on the future. As scientific developments alter expectations for the future, the literature absorbs, uses, and adapts such contextual visions. The goal of the Encyclopedia is not to present a catalog of sciences and their application in literary fiction, but rather to study the ongoing flow and counterflow of influences, including how fictional representations of science affect how we view its practice and disciplines. Although the main focus is on literature, other forms of science fiction, including film and video games, are explored and, because science is an international matter, works from non-English speaking countries are discussed as needed."
503,A Dictionary of Science (Oxford Quick Reference),"This bestselling dictionary contains more than 9,500 entries on all aspects of chemistry, physics, biology (including human biology), earth sciences, computer science, and astronomy. This fully revised edition includes hundreds of new entries, such as bone morphogenetic protein , Convention on Biological Diversity , genome editing , Ice Cube experiment , multi-core processor , PhyloCode , quarkonium , and World Wide Telescope , bringing it fully up to date in areas such as nanotechnology, quantum physics, molecular biology, genomics, and the science of climate change. Supported by more than 200 diagrams and illustrations the dictionary features recommended web links for many entries, accessed and kept up-to-date via the Dictionary of Science companion website. Other features include short biographies of leading scientists, full page illustrated features on subjects such as the Solar System and Genetically Modified Organisms, and chronologies of specific scientific subjects including plastics, electronics, and cell biology. With concise entries on an extensive list of topics, this dictionary is both an ideal reference work for students and a great introduction for non-scientists."
503,Van Nostrand's Concise Encyclopedia of Science,"The most comprehensive one-volume scientific desk reference available Based on the new 4,000-page, two-volume Van Nostrand's Science Encyclopedia, Ninth Edition, the best scientific encyclopedia available according to the Library Journal, this authoritative, concise encyclopedia of science features over 5,000 entries that completely cover vital science, technology, and math terms and concepts. Easy-to-use and fun to read, this indispensable reference covers the very latest scientific advances and developments in all areas of science. Plus, it offers basic definitions of scientific terms followed by concise explanations of the concepts. Packed with illustrations, charts, and graphs, this impressive book also features numerous line drawings, diagrams, and black-and-white photos. Christopher G. DePree (Decatur, GA) is Assistant Professor of Physics and Astronomy at Agnes Scott College. Alan Axelrod, PhD (Atlanta, GA) is the award-winning author of more than twenty books and is a well-regarded popular historian."
503,Chambers Dictionary of Science & Technology,"With its unrivalled coverage of scientific and technical terms, Chambers Dictionary of Science and Technology has long been an essential reference tool for students, professionals, and general readers. This newly revised and updated edition contains more than 50,000 clear and accessible entries on an impressively wide range of subjects."
503,Dictionary of Science for Everyone,"Electricity, microwaves, X-rays, computers, television - even the weather forecast - are examples of the science and technology which surround us all. This layman's guide comprises explanations of more than 1000 scientific terms, arranged in A-Z format."
503,Kingfisher Encyclopedia of Questions and Answers (Volume 2 Animals and Plants Human body),None
503,Jovenes Cientificos,Text and illustrations introduce various fields of science. Includes activities and experiments.
503,International Encyclopedia of Science and Technology,"This collection of 6,500 cross-referenced A-Z entries covers all aspects of science and technology, including physics, chemistry, life and earth sciences, information technology, matematics, engineering, astronomy, and medicine."
503,Back into Mommy's Tummy,"Jealous of her soon-to-be-born baby brother, a five-year-old girl wants to return to the security of her mommy's ""tummy"" but soon discovers that the disadvantages far outweigh the advantages."
503,The Cambridge Dictionary of Science and Technology,"Contains 45,000 entries in over 100 fields of science and technology."
503,Concise Encyclopedia of the Sciences,"Defines essential terms, explains important concepts, and illustrates the practical applications of theoretical ideas"
503,A to Z of Science: A Visual Dictionary for Curious Scientists,"Introduces the language and concepts of science through alphabetically listed entries with illustrations, covering such disciplines as astronomy, chemistry, biology, physics, and the human body."
503,Children's Encyclopedia Science,"Discover the scientific world and byond with this highly visual encyclopedia. Includes detailed information on space, weather and the human body."
503,Oxford Science Study Dictionary,"The dictionary explains the language of the KS3 / 4 curriculum. With an alphabetical wordfinder of over 1000 words and phrases , additional feature spreads on key topics enabling the student to explore the meaning of words within a context rather than isolation, and fully supported withdiagrams and illustrations, it is a key dictionary for secondary level science students."
503,Young Scientist Volume 05: Living World | Plants,"Presents information on two topics, biology and plants. Includes experiments."
503,Get into the Bible: How to Study the Bible,A thoroughly readable overview of the themes and storyline of the Bible as a whole. It also shows you how various approaches to Bible study can help or hinder your spiritual growth.
503,Visit My Alien Worlds,Text and lavish illustrations portray life on imaginary planets in the year 2500.
503,The Illustrated Science and Invention Encyclopedia 02,None
503,Show Boat (Piano/Vocal/Songbook),"Musical extravaganza which celebrates the loves and heartbreaks of a Mississippi riverboat troupe, starting with a young girl whose heart is stolen by a dashing gambler."
503,"Science ~ Southwestern Advantage / Great American , Inc. (Southwestern Advantage) by Judy Jackson Dan Moore Mary Cummings (2011-05-03)","A Textbook Encyclopedia that covers Biology, Chemistry, Earth Science, Ecology, Physics, and Space Science."
503,"Encyclopedia of Questions and Answers Volume 1 : Earth and Space, Science (Kingfisher)",Encyclopedia
503,The Harper Encyclopedia of Science,None
503,Observing God&#039;s World (Answer key to Text Questions),None
503,U-X-L Encyclopedia of Science: 001,"Includes 600 topics in the life, earth, and physical sciences as well as in engineering, technology, math, environmental science, and psychology."
