DDC,Title,description
552,Rocks & Minerals (Eyewitness Books),"Text and photographs examine the creation, importance, erosion, mining, and uses of rocks and minerals."
552,Let's Go Rock Collecting,"Describes the formation and characteristics of igneous, metamorphic, and sedimentary rocks and how to recognize and collect them."
552,National Audubon Society Field Guide to North American Rocks and Minerals,"Identification information for various characteristics of rocks and minerals found in North America, with 794 photographs."
552,Rocks and Minerals (National Geographic Readers) (Level 2),An introduction to rocks and minerals including how they are formed.
552,A Rock Is Lively,"From the award-winning creators of An Egg Is Quiet, A Seed Is Sleepy, and A Butterfly Is Patient comes a gorgeous and informative introduction to the fascinating world of rocks. From dazzling blue lapis lazuli to volcanic snowflake obsidian, an incredible variety of rocks are showcased in all their splendor. Poetic in voice and elegant in design, this book introduces an array of facts, making it equally perfect for classroom sharing and family reading. Picture Book Nonfiction. Juvenile Nonfiction. Nature."
552,Everything Rocks and Minerals: Dazzling gems of photos and info that will rock your world,"This book describes how rocks and minerals are formed by geological processes, and how they are used in our lives."
552,The Quicksand Book,Discusses the composition of quicksand and rescue procedures.
552,Rocks & Minerals (Usborne Spotter's Guides),"A field guide identifying over eighty rocks, minerals, and fossils offers information on their appearance, properties, and natural locations."
552,If You Find a Rock,"Celebrates the variety of rocks that can be found, including skipping rocks, chalk rocks, and splashing rocks."
555,"Run, Sid, Run!","Sid,a lemur, runs from a cat , leopard."
555,Cat Tale,"Three adventurous and inquisitive cats named Lillian, Tilly, and William J. have an exciting afternoon playing together."
555,"Sheep, Sheep, Sheep, Help Me Fall Asleep",A child tries to fall asleep by counting sheep and sees a variety of interesting animals before the woolly visitors show up.
555,Hilda Hen's Scary Night,"During her nighttime journey to the henhouse Hilda Hen finds unexpected courage within herself as she tiptoes past a snake, runs from a fox, and swims a lake."
555,Alphabet Soup,"A host of animals from A to Z come to Otter's housewarming party, bringing a wide variety of foods for his alphabetical soup."
555,Don't Let The Peas Touch,"In three linked stories, sisters Annie and Sophie argue over such issues as foods touching on a plate, quiet time, and pet ownership."
558,My Lucky Day,"When a young pig knocks on a fox's door, the fox thinks dinner has arrived, but the pig has other plans."
558,The Gingerbread Man Loose in the School,A gingerbread man searches all over the school for the group of children that made him and then left him behind.
558,The Dinosaur Who Lived in My Backyard (Picture Puffin Books),A young boy imagines what it was like long ago when a dinosaur lived in his backyard.
558,Cam Jansen and the School Play Mystery,"When a thief takes the box office money at the school play, Cam uses her photographic memory to solve the mystery."
558,The Vampire Bunny,"Though scoffed at by Harold the dog, Chester the cat tries to warn his human family that their foundling baby bunny must be a vampire."
558,Farm Flu,"When the farm animals seem to catch the flu one after another, a young boy does his best to take care of them."
558,Bad Boys,Two hungry wolves in disguise attempt to raid a sheep farm.
558,Home Court (STAT: Standing Tall and Talented),"Between sports, school, and working for his father, eleven-year-old Amar'e's life is full and he is not yet ready to concentrate on basketball--but when a group of older boys start hogging the local basketball court he knows that he has to do something to help his friends."
558,Chewy Louie,"A family may have to get rid of their new pet, a cute puppy that eats everything in sight, including toys, bowls, and porches."
552,Simon and Schuster's Guide to Rocks and Minerals,"A field guide with over 1,000 illustrations, descriptions, and practical information."
552,Rocks and Fossils (Hobby Guides (Usborne Paperback)),Outlines the history of Earth's continents and explains how different types of rocks and fossils were formed.
552,Scars,"Fifteen-year-old Kendra, a budding artist, has not felt safe since she began to recall devastating memories of childhood sexual abuse, especially since she cannot remember her abuser's identity, and she copes with the pressure by cutting herself."
552,Rocks & Minerals: A Gem of a Book!,"Mixes science and art to bring the world of geology to life, with wacky characters to explain the things that form the foundations of our planet including rocks, gems, crystals, fossils, and more."
552,Rocks and Minerals (Eyewitness Explorers),An illustrated guide to geological and geophysical aspects of rocks and minerals in our world.
552,Suck It Up,"After graduating from the International Vampire League, a scrawny, teenaged vampire named Morning is given the chance to fulfill his childhood dream of becoming a superhero when he embarks on a League mission to become the first vampire to reveal his identity to humans and to demonstrate how peacefully-evolved, blood-substitute-drinking vampires can use their powers to help humanity."
552,"Guide to Minerals, Rocks and Fossils (Firefly Pocket series)","An authoritative and practical identification guide to minerals, rocks and fossils of the world. Published in association with The Natural History Museum, this is an invaluable handbook for amateur collectors and specialists alike."
552,I Am a Rock,"First-person riddles present information about various rocks and minerals, including sandstone, chalk, slate, and petrified wood."
552,Rocks and Minerals (Smart Words Reader),"""Huge chunks of rock make up mountains. Tiny pieces of rock make up sand. Wherever you walk, rock is somewhere beneath your feet. But what are rocks made of and where do they come from? Delve into this amazing books and learn all about the three types of rocks, the rock cycle, the minerals found inside rocks, and more. Plus, you will learn all of the important vocabulary words you'll need to understand the amazing rocks that make up our Earth!""--from back cover."
552,Smithsonian Rock And Gem,"Provides a look at the world's diverse rocks and gems, covering more than 450 different specimens, along with detailed descriptions, identification tips, classification information, and practical advice on gem and rock collecting."
552,Rocks and Minerals: National Audubon Society First Field Guide,Detailed full-color spreads help beginning naturalists observe and understand over 150 types of rocks and minerals.
555,The Cheat,"When Sarah gets her hands on the answers to the eighth-grade geography midterm and decides to share them with some other students, the consequences are far-ranging."
555,"Thump, Thump, Rat-a-Tat-Tat","A distant marching band grows larger and louder as it nears, and then softer and smaller as it goes away again."
555,Howard B. Wigglebottom and the Power of Giving: A Christmas Story,"Howard likes owning but not sharing. At Christmas time, he learns the value of giving real things and not just material possessions."
555,Howie Monroe and the Doghouse of Doom,"Continuing his search for fame as a writer, Howie the wire-haired dachshund creates a story remarkably similar to the popular one he has heard about a heroic boy wizard."
555,"My Tooth Is Loose! (Penguin Young Readers, Level 2)","When Georgie announces he has a loose tooth, all of his friends have advice to offer him, but none of it is appealing."
555,The Trucker,Wesley dreams his toy semi-flatbed rig grows big enough for him to have a trucking adventure but wakes to find he is in the back of his father's truck.
555,See Otto: Ready-to-Read Pre-Level 1 (The Adventures of Otto),"Otto the robot lands on Earth, where he confronts an angry rhino and befriends two artistic monkeys."
555,Will You Be My Friend? A Bunny and Bird Story,"Bird comes to feel less shy when Bunny helps her rebuild her ruined nest, showing her what a good friend can be."
555,Frankenstein: A Monstrous Parody,Frankenstein is the scariest of all the monsters in Miss Devel's castle until one night when he loses his head.
555,Wingwalker,"During the Depression, Reuben and his out-of-work parents move from Oklahoma to Minnesota, where his father gets a job as a carnival wingwalker and Reuben has a chance to overcome his terror of flying."
555,The Sloppy Copy Slipup,"Fourth-grader Brian Higman worries about how his teacher Miss Fromme--nicknamed The General--will react when he fails to hand in a writing assignment, but he ends up being able to tell his story, after all."
555,The Disney Fairies Story Collection,"The fairies of Pixie Hollow play, race and have a bake-off."
555,A Day With May (All-Star Readers),A brother and sister play indoors and outdoors on a rainy day.
558,The Sorcerer's Apprentice,"The junior novel is a 144-page retelling of the blockbuster film, The Socerer's Apprentice. Featuring an eight-page full-colored photo insert with stills from the movie, this is sure to be a must for fans of the soon-to-be hit film!"
558,The Pen That Pa Built,"A cumulative, illustrated tale describing the process of raising sheep and using their wool to make warm woolen blankets."
558,Nutik & Amaroq Play Ball,"While searching for a missing football, a young Eskimo boy and his wolf pup friend nearly get lost on the tundra."
558,Peter Pan: Adventures in Neverland,"When Peter Pan visits the night nursery of Wendy, John and Michael Darling, he changes their lives forever. Peter, the boy who never grows up, teaches the children to fly and then takes them on an unforgettable journey to Neverland. Together, they make friends with fairies and mermaids and face the dastardly deeds of the villainous Captain Hook. This magical retelling for younger readers retains all the adventure and excitement of J.M. Barrie's classic story."
558,The Last Airbender Movie Novelization (Avatar),"When the Avatar--a bender whose spirit can master Water, Earth, Fire and Air--disappeared a hundred years ago, the Fire Nation attacked. All hope was lost ... until the arrival of Aang, a twelve-year-old Airbender, who reveals himself as the new Avatar. And he must now save the world from being dominated by the Fire Nation. This live-action movie tells the story from the the first season of the original TV series."
558,Coco and Cavendish: Circus Dogs,"When the owner of the circus where they work replaces them with robot dogs, Coco and Cavendish set out to find a new job--but it is not as easy as they thought it would be."
558,We Are All Dots: A Big Plan for a Better World,"When a set of prosperous dots on one page and another set of impoverished dots on the other meet, readers are taken through their struggle to bridge their differences."
558,"Rodney, the Surfing Duck",Life's pretty bad when the only person around to go surfing with is your pet duck!
558,Super Turbo vs. the Pencil Pointer (3),"In this third book, there's a new villain in the classroom. He's big, he's shiny, and he can sharpen a pencil like Super Turbo has never seen. And he stares at Turbo. All. Day. Long. But just when Turbo begins to think that the Pencil Pointer might not be that evil ... the villain starts spewing pencil shavings! If he keeps at it, Turbo's hamster home will be destroyed. Then Turbo learns that evil isn't only trying to take over his classroom. The rest of the classroom pets are battling their own Pencil Pointers! Can the Superhero Superpet League stop the Pencil Pointers and save the school--and themselves? --provided by publisher."
558,Little Buggy Runs Away,"Little Buggy has a fight with Big Buggy and runs away, with help from some ant friends, but when night falls and the ants have to go home, Little Buggy has second thoughts."
558,The Big Chase,Nobody had ever caught the Wolfman. He burst into sight every year during the annual school field trip to Echo Lake. And every year the children would chase him. Would this be the year they caught the Wolfman and found out who he really was?
