DDC,Title,description
309,Jerusalem in the Time of Jesus,"An Investigation into Economic and Social Conditions during the New Testament Period, including: Economic conditions in the city of Jerusalem, economic status, social status, and the maintenance of racial purity."
309,Consciousness and Society,"Hughes' ideas, and the way they are expressed in Consciousness and Society, have become paradigms of twentieth-century scholarship. In dealing with the changing social thought after 1890 in Europe, Hughes covers a wide array of thinkers and issues in a scholarly, yet graceful manner. His is a study of the ""cluster of genius"" of Europe at that time: Croce, Durkheim, Freud, Weber, and Nietzsche, as well as other great European minds. The book explores questions that are still relevant in today's society: Is the separation of facts and values tenable, or even desirable? Can rationality accommodate the ideas of a Bergson or a Freud? Is there, or should there be, a relationship between science and religion? And does history have any ultimate meaning for later generations?"
309,"The Americans; a social history of the United States, 1587-1914",Builds a sense of the character in an intimate view of American life.
309,"Frankly, Frannie: Doggy Day Care","Frannie must rethink her dream of becoming a veterinarian after she and Elliott, her future assistant, cause chaos by letting her Aunt Magoo's dog, Bark, loose in a veterinarian's waiting room."
309,The World We Have Lost: England before the Industrial Age,"What was life like in England before the Industrial Revolution? The World We Have Lost is widely regarded as a classic of historical writing and a vital book in reshaping our understanding of the past and the structure of family life in England. Turning away from the prevailing fixation of history on a grand scale, Laslett instead asks some simple yet fundamental questions about England before the Industrial Revolution: How long did people live? How did they treat their children? Did they get enough to eat? What were the levels of literacy? His findings overturned much received wisdom: girls did not generally marry in their early teens, but often worked before marrying at much the same ages that young people marry today. Most people did not live in extended families, or even live their whole lives in the same villages. Going beyond the immediate structure of the family, he also explores the position of servants, the gentry, rates of migration, work and social mobility. Laslett's classic work was crucial in causing an important sociological turn in early modern English history and remains as fresh and exhilarating today as upon its first publication. This Routledge Classics edition includes a new Foreword by Kevin Schrer."
309,"Capitalism and Material Life, 1400-1800","This work is concerned with the quest for progress in daily life throughout the world between the fifteenth and eighteenth centuries. Professor Braudel studies the demographic expansion that outstripped the production of goods, and the many other factors that brought about the low subsistence level of the majority of people in contrast with the luxurious living standards of the wealthy and privileged few; the effects of famine and plague; the gradual expansion of the towns in a basically agricultural economy. In this first of a two-volume work deals with population; staple diets throughout the world; housing and clothes; the spread of technology in particular, sources of power; communications; early economies and kinds of money; towns in East and West. The second volume will deal with the rise and expansion of capitalism."
309,Sherlock Chick and the Peek-A-Boo Mystery (Parents Magazine Read Aloud Original),"Thinking that a lost mouse might hide in a hole, Sherlock Chick interviews many animals living in holes as he searches for the missing baby mouse."
309,Medieval England: A Social History and Archaeology from the Conquest to 1600 A.D,"By drawing equally on the work of historians and archaeologists, Colin Platt puts forward a view of English medieval society in which there is much that is new and unexpected. Medieval England brings together a wide range of themes, from castle and palace to peasant hovel, from the great cathedrals and monasteries to the parish churches and `alien' cells. The book is fully illustrated, the pictures being an integral part of the text.For this re-issue Professor Platt has written a new preface which updates the work with a survay of archaeological and historical developments in the last decade."
309,Without Marx or Jesus; the new American Revolution has begun,"""""I'm the only person in the history of Virginia elected to statewide office with a Union card, two Purple Hearts, and three tattoos.""""Jim Webb--the bestselling author and now the celebrated, outspoken U.S. Senator from Virginia--presents a clear-eyed, hard-hitting plan of attack for putting government to work for the people, rather than special interests, and for restoring the country's standing around the world. Infused with the intelligence, force, and firebrand style that has earned Senator Jim Webb enormous national attention from his earlest days in office, ""A Time to Fight"" offers a thorough and provocative assessment of the thorniest issues Americans face today, along with cogent solutions drawn from Webb's lifetime of experience as a much-decorated Marine, a widely traveled, award-winning journalist and novelist, a highly placed member of the Reagan administration, a Senator with a son who fought as a Marine in Iraq and, perhaps most important, a proud scion of America's vast but frequently ignored working class. Webb exposes how America has entered a dangerous, unprecedented cycle of seemingly unsolvable unknowns. Our economic policies, particularly in this age of globalization, have produced widely divergent results leading to a country calcifying along class lines. Our demographic makeup has been altered dramatically and is set to keep on changing, through both legal and illegal immigration. Our editorialists and politicians talk about the American dream, and some urge us to bring democracy to the rest of the world. But more than two million Americans are now in prison, by far the highest incarceration rate in the so-called advanced world. Our foreign policy is confused, without clear direction; increasingly vulnerable to such largely unexamined long-term threats as China's emerging power while it has become bogged down in the never-ending struggles of the Middle East. As this drift toward societal regression has taken place, America's leadership has largely been paralyzed, unable or unwilling to stop the slide. ""Where are the leaders?"" Webb asks. ""Has our political process become so compromised by powerful interest groups and the threat of character assassination that even the best among us will not dare to speak honestly about the solutions that might bring us back to common sense and fundamental fairness?"" Through vivid personal narratives of the struggles members of his family faced, and citing the courageous actions of presidents ranging from Andrew Jackson to Teddy Roosevelt to Dwight Eisenhower, ""A Time to Fight"" provides specific, viable ideas for restoring fairness to our economic system, correcting the direction of national security efforts, ending America's military occupation of Iraq, and developing greater government accountability. Webb brings a fresh perspective to political dynamics that have shaped our country. His stirring, populist manifesto calls upon voters to make the choices that will change America for the better in this election season."
309,A Time for Truth,"""A distinguished conservative dissects the economic and political policies that threaten our liberty--and points the way to an American renaissance""--Jacket subtitle."
