DDC,Title,description
251,Why Johnny Can't Preach: The Media Have Shaped the Messengers,"This book is an analysis of shifts in dominant media forms and their effects on the sensibilities of the culture as a whole. Many of those shifts have profound, and unfortunate, effects on preaching. T. David Gordon has identified a problem, one that affects all preachers (indeed, all public speakers) and needs fixing. Our preaching is just not communicating properly anymore. Fortunately, Gordon not only explains the causes of this failure but also shows us how to make things better."
251,The Modern Preacher and the Ancient Text: Interpreting and Preaching Biblical Literature,"A fusion of biblical hermeneutics and homiletics, this thorough and well-researched book offers a holistic contemporary approach to the interpretation and preaching of biblical texts, using all the scholarly tools available and focusing especially on literary features. Greidanus develops hermeneutical and homiletical principles and then applies them to four specific genres: Hebrew narratives, prophetic literature, the Gospels, and the Epistles."
251,Proclaiming a Cross-centered Theology (Together for the Gospel),"Some of the leading voices in evangelical Christianity reaffirm the importance of preaching biblical theology for the health of our churches. Loving, teaching, and rightly dividing the Word of God is every pastor's privilege and responsibility. If a pastor understands what the Word says about God, man, and the curse, about Christ and his substitutionary atonement, and about the call to repentance and sacrifice, he will develop and preach a sound theology. And sound theology is, in the words of J. Ligon Duncan, essential to faithful pastoral ministry. Proclaiming a theology that is centered on Christ's atonement is especially critical, for by this atonement, Christians have been brought from death to life, and by it a church lives or dies. In this penetrating sequel to Preaching the Cross , John Piper, R. C. Sproul, John MacArthur, and Thabiti Anyabwile join authors Mark Dever, Ligon Duncan, C. J. Mahaney, and Albert Mohler in exploring the church's need for faithful proclamation and calling pastors and churches to cross-centered, scripturally saturated thinking."
251,Power in the Pulpit: How to Prepare and Deliver Expository Sermons,"The call to preach is also a call to prepare. Too many pastors have refrained from preparation while they await the Holy Spirit to do all of the work. God expects preachers to prepare sermons as much as possible and allow Him to prepare the preachers. Join Dr. Jerry Vines and Dr. Jim Shaddix as they achieve a balanced approach to sermon preparation in Power in the Pulpit . This book combines the essential perspectives of a pastor of forty years with another who devotes daily time to training pastors in the context of theological education. Power in the Pulpit is practical preaching instruction in line with a tradition that sees expository preaching as a paramount and frequent event in the life of the local church. Power in the Pulpit is the combined work of Dr. Vines's two earlier publications on preaching: A Practical Guide to Sermon Preparation (Moody Publishers, 1985) and A Guide to Effective Sermon Delivery (Moody Publishers, 1986). Dr. Shaddix carefully organizes and supplements the material to offer this useful resource, which closes the gap between classroom theory and what a pastor actually experiences in his weekly sermon preparation."
251,Preach: Theology Meets Practice (IX Marks),"Mark Dever, senior pastor of Capitol Hill Baptist Church in Washington, DC, and president of 9Marks, is widely respected for his efforts to build biblically faithful churches in America that will impact the nations. In this book about one of the practical distinctives of that work, Dever and his former student Greg Gilbert offer a theological and practical guide emphasizing the centrality of expositional preaching -- sermons intentionally rooted in a specific Bible text. Dever and Gilbert clearly explain how God exercises His divine power through the Word, making it the basis of any relationship we have with Him. Thus, preaching directly from Scripture should be at the center of church life. Toward that goal, the authors give practical advice on how pastors can decide what texts to preach on, how to prepare and outline their sermons, and how to deliver and review those presentations. Pastors will especially appreciate the book's final section: transcripts of past sermons from Dever and Gilbert augmented by insightful conversations between them about how each sermon was planned and whether or not is was effectively implemented."
251,Preaching Christ in All of Scripture,"Voicing one theme for the entire Bible and structuring all sermons around that idea may seem to be an impossible challenge. For veteran pastor and preaching professor Edmund Clowney it will not do to preach a text from either the Old or New Testaments without fully preaching its ultimate and primary focus-the person and work of Jesus Christ. He writes, ""To see the text in relation to Christ is to see it in its larger context, the context of God's purpose in revelation."" Clowney's rationale for emphasizing Christ's presence in the Old Testament rests on the purpose of the Hebrew Scripture. The Old Testament follows God's one great plan for human history and redemption, and the plan is not only from him but centers on him: his presence in his incarnate Son. The witness of the Scriptures to Christ is the reason they were written, so it is appropriate to emphasize this element in the Old Testament as well as in the New Testament. By offering numerous full-length examples of his own sermons that emphasize Christ as the principle theme of Scripture, Clowney illustrates for those who will never have the privilege of being his students how they can craft sermons which present Christ as the primary consideration of the text. He also offers specific instructions on preparing such a sermon. He discusses the personal habits of prayer and Bible study that prepare pastors to seek out Christ's presence. Clowney emphasizes the importance of including a specific application in every sermon so that Christ is presented both in what he says and does to reveal himself in the biblical text and in what he says and does to direct Christians' lives today. Students preparing for the pastorate, pastors desiring to increase their emphasis on Christ in their sermons, and those seeking Christ's presence in all of Scripture will find a help in Clowney's writings."
251,Listen up!,"Seven ingredients for healthy sermon listening. Why on earth does anyone need a guide on how to listen to sermons? Don't we simply need to 'be there' and stay awake? Yet Jesus said: 'Consider carefully how you listen.' The fact is, much more is involved in truly listening to Bible teaching than just sitting and staring at the preacher. Christopher Ash outlines seven ingredients for healthy listening. He then deals with how to respond to bad sermons - ones that are dull, or inadequate, or heretical. And finally, he challenges us with ideas for helping and encouraging our Bible teachers to give sermons that will really help us to grow as Christians. * Where does the authority of a Bible teacher come from? * Why is Bible teaching offensive? * Why is it important to hear Bible teaching in church? * How can we actually enjoy Bible teaching more? These (and more) are the questions answered by this practical guide, which includes effective, hands-on suggestions for implementing each idea. All with the aim of helping us learn how to listen properly, so that through His word, God will make us more and more Christ like. 'We give Listen Up to all our new members' - Mark Dever, Senior Pastor, Capitol Hill Baptist Church"
251,The Preacher's Portrait: Some New Testament Word Studies,"Convinced that knowing the Word of God is fundamental to preaching, John Stott here presents brief studies of five New Testament metaphors that characterize preachers: steward, herald, witness, father, and servant. In the course of these five studies, Stott discusses the message and authority of preachers, the character of their proclamation, the vital necessity of their own experience of the gospel, and their motives and moral qualities, particularly humility, gentleness, and love. A biblically faithful portrayal of what preachers are supposed to be emerges from Stott's reflections -as he says, ""a portrait painted by the hand of God himself on the broad canvas of the New Testament.""."
251,Preaching with Purpose,"""The amazing lack of concern for purpose among homileticians and preachers has spawned a brood of preachers who are dull, lifeless, abstract and impersonal; it has obscured truth, hindered joyous Christian living, destroyed dedication and initiative, and stifled service for Christ."" -Jay Adams, from the book Preaching needs to become purposeful, says Jay Adams, because purposeless preaching is deadly. This book was written to help preachers and students discover the purpose of preaching has and the ways that the Scriptures inform and direct the preaching task. Preaching with Purpose, like the many other books of Jay Adams, speaks clearly and forcefully to the issue. Having read this book, both students and experienced preachers will be unable to ignore the urgent task of purposeful preaching. And the people of God will be the better for it."
251,Saving Eutychus,"Two preachers look at the practical issues of getting to the heart of the biblical text, controlling content so you say what you mean to say, and delivering sermons in a way that keeps people awake."
